,Title,Genre,Director,Actors,Plot
25,The Notebook,"Drama, Romance            ",Nick Cassavetes,"['Gena Rowlands', 'James Garner', 'Rachel McAdams', 'Ryan Gosling']","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
26,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy            ",Bill Condon,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Peter Facinelli']","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
27,The Princess and the Frog,"Animation, Adventure, Comedy            ",Ron Clements,"['John Musker', 'Anika Noni Rose', 'Keith David', 'Oprah Winfrey', 'Bruno Campos']","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
28,Pitch Perfect,"Comedy, Music, Romance            ",Jason Moore,"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Anna Camp']","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
29,The Great Gatsby,"Drama, Romance            ",Baz Luhrmann,"['Leonardo DiCaprio', 'Carey Mulligan', 'Joel Edgerton', 'Tobey Maguire']","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
30,True Romance,"Crime, Drama, Romance            ",Tony Scott,"['Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
31,Cast Away,"Adventure, Drama, Romance            ",Robert Zemeckis,"['Tom Hanks', 'Helen Hunt', 'Paul Sanchez', 'Lari White']",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
32,Forgetting Sarah Marshall,"Comedy, Drama, Romance            ",Nicholas Stoller,"['Kristen Bell', 'Jason Segel', 'Paul Rudd', 'Mila Kunis']","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
33,Red Riding Hood,"Fantasy, Horror, Mystery            ",Catherine Hardwicke,"['Amanda Seyfried', 'Lukas Haas', 'Gary Oldman', 'Billy Burke']","Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure."
34,Marriage Story,"Comedy, Drama, Romance            ",Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
35,Just Go with It,"Comedy, Romance            ",Dennis Dugan,"['Adam Sandler', 'Jennifer Aniston', 'Brooklyn Decker', 'Nicole Kidman']","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
36,Lolita,"Drama, Romance            ",Adrian Lyne,"['Jeremy Irons', 'Dominique Swain', 'Melanie Griffith', 'Frank Langella']",A man marries his landlady so he can take advantage of her daughter.
37,Her,"Drama, Romance, Sci-Fi            ",Spike Jonze,"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara']","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
38,Dirty Dancing,"Drama, Music, Romance            ",Emile Ardolino,"['Patrick Swayze', 'Jennifer Grey', 'Jerry Orbach', 'Cynthia Rhodes']","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
39,The Dreamers,"Drama, Romance            ",Bernardo Bertolucci,"['Michael Pitt', 'Louis Garrel', 'Eva Green', 'Anna Chancellor']",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
40,Overboard,"Comedy, Romance            ",Garry Marshall,"['Goldie Hawn', 'Kurt Russell', 'Edward Herrmann', 'Katherine Helmond']","A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her they're husband and wife."
41,St. Elmo's Fire,"Drama, Romance            ",Joel Schumacher,"['Demi Moore', 'Rob Lowe', 'Andrew McCarthy', 'Emilio Estevez']","A group of friends, just out of college, struggle with adulthood."
42,Edward Scissorhands,"Drama, Fantasy, Romance            ",Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall']","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
43,The King,"Biography, Drama, History            ",David Michôd,"['Tom Glynn-Carney', 'Gábor Czap', 'Tom Fisher', 'Edward Ashley']","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life."
44,Gone with the Wind,"Drama, History, Romance            ",Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
45,A Knight's Tale,"Action, Adventure, Romance            ",Brian Helgeland,"['Heath Ledger', 'Mark Addy', 'Rufus Sewell', 'Shannyn Sossamon']","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
46,The Half of It,"Comedy, Drama, Romance            ",Alice Wu,"['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Wolfgang Novogratz']","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush."
47,Atonement,"Drama, Mystery, Romance            ",Joe Wright,"['Keira Knightley', 'James McAvoy', 'Brenda Blethyn', 'Saoirse Ronan']",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
48,How Do You Know,"Comedy, Drama, Romance            ",James L. Brooks,"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson', 'Jack Nicholson']","After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau."
49,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi            ",Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
50,Les Misérables,"Drama, History, Musical            ",Tom Hooper,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried']","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
51,There's Something About Mary,"Comedy, Romance            ",Bobby Farrelly,"['Peter Farrelly', 'Cameron Diaz', 'Matt Dillon', 'Ben Stiller', 'Lee Evans']","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
52,The Blue Lagoon,"Adventure, Drama, Romance            ",Randal Kleiser,"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
53,Blended,"Comedy, Romance            ",Frank Coraci,"['Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey', 'Kevin Nealon']","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
54,Pride & Prejudice,"Drama, Romance            ",Joe Wright,"['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn', 'Donald Sutherland']","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
55,A Walk to Remember,"Drama, Romance            ",Adam Shankman,"['Mandy Moore', 'Shane West', 'Peter Coyote', 'Daryl Hannah']","The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service."
