,Title,Genre,Director,Actors,Plot
0,Jojo Rabbit,"Comedy, Drama, War            ",Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
1,Guns Akimbo,"Action, Comedy, Thriller            ",Jason Lei Howden,"['Samara Weaving', 'Daniel Radcliffe', 'Rhys Darby', 'Ned Dennehy']",A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.
2,Thor: Ragnarok,"Action, Adventure, Comedy            ",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
3,Charlie's Angels,"Action, Adventure, Comedy            ",Elizabeth Banks,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all."
4,The Truman Show,"Comedy, Drama, Sci-Fi            ",Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",An insurance salesman discovers his whole life is actually a reality TV show.
5,Airplane!,Comedy            ,Jim Abrahams,"['David Zucker', 'Jerry Zucker', 'Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
6,The Wrong Missy,"Comedy, Romance            ",Tyler Spindel,"['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson']","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
7,Bad Boys for Life,"Action, Comedy, Crime            ",Adil El Arbi,"['Bilall Fallah', 'Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig']",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
8,Ready or Not,"Comedy, Horror, Mystery            ",Matt Bettinelli-Olpin,"['Tyler Gillett', 'Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
9,Hustlers,"Comedy, Crime, Drama            ",Lorene Scafaria,"['Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Mette Towley']","Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
10,Spaceballs,"Adventure, Comedy, Sci-Fi            ",Mel Brooks,"['Mel Brooks', 'John Candy', 'Rick Moranis', 'Bill Pullman']",A star pilot and his sidekick must come to the rescue of a Princess and save the galaxy from a ruthless race of beings known as Spaceballs.
11,Clueless,"Comedy, Romance            ",Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
12,Onward,"Animation, Adventure, Comedy            ",Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",Two elven brothers embark on a quest to bring their father back for one day.
13,The Mighty Ducks,"Comedy, Drama, Family            ",Stephen Herek,"['Emilio Estevez', 'Joss Ackland', 'Lane Smith', 'Heidi Kling']",A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.
14,The Big Lebowski,"Comedy, Crime, Sport            ",Joel Coen,"['Ethan Coen', 'Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
15,I Now Pronounce You Chuck & Larry,"Comedy, Romance            ",Dennis Dugan,"['Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dan Aykroyd']","Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits."
16,A Simple Favor,"Comedy, Crime, Drama            ",Paul Feig,"['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
17,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy            ",Jake Kasdan,"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
18,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy            ",Edgar Wright,"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
19,Crazy Rich Asians,"Comedy, Drama, Romance            ",Jon M. Chu,"['Constance Wu', 'Henry Golding', 'Michelle Yeoh', 'Gemma Chan']","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
20,Almost Famous,"Adventure, Comedy, Drama            ",Cameron Crowe,"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
21,The Mask,"Action, Comedy, Crime            ",Chuck Russell,"['Jim Carrey', 'Cameron Diaz', 'Peter Riegert', 'Peter Greene']",Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
22,Frozen,"Animation, Adventure, Comedy            ",Chris Buck,"['Jennifer Lee', 'Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad']","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
23,Sonic the Hedgehog,"Action, Adventure, Comedy            ",Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter']","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
24,Guardians of the Galaxy,"Action, Adventure, Comedy            ",James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
25,The Goonies,"Adventure, Comedy, Family            ",Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman']",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
26,Ferris Bueller's Day Off,Comedy            ,John Hughes,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
27,The 40 Year Old Virgin,"Comedy, Romance            ",Judd Apatow,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco']","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
28,Emma.,"Comedy, Drama            ",Autumn de Wilde,"['Anya Taylor-Joy', 'Johnny Flynn', 'Mia Goth', 'Angus Imrie']","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
29,Ocean's Eight,"Action, Comedy, Crime            ",Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway', 'Mindy Kaling']",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.
30,Vacation,"Adventure, Comedy            ",John Francis Daley,"['Jonathan Goldstein', 'Ed Helms', 'Christina Applegate', 'Skyler Gisondo', 'Steele Stebbins']","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
31,Back to the Future Part II,"Adventure, Comedy, Sci-Fi            ",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Thomas F. Wilson']","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
32,Mean Girls,Comedy            ,Mark Waters,"['Lindsay Lohan', 'Jonathan Bennett', 'Rachel McAdams', 'Tina Fey']","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
33,Mary Poppins Returns,"Comedy, Family, Fantasy            ",Rob Marshall,"['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer']","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
34,Dolittle,"Adventure, Comedy, Family            ",Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent']",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
35,Hot Fuzz,"Action, Comedy, Mystery            ",Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Bill Nighy']",A skilled London police officer is transferred to a small town with a dark secret.
36,The Breakfast Club,"Comedy, Drama            ",John Hughes,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy']",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
37,Baywatch,"Action, Comedy, Crime            ",Seth Gordon,"['Dwayne Johnson', 'Zac Efron', 'Alexandra Daddario', 'Priyanka Chopra']","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
38,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance            ",Ol Parker,"['Lily James', 'Amanda Seyfried', 'Meryl Streep', 'Cher']","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
39,Charlie and the Chocolate Factory,"Adventure, Comedy, Family            ",Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
40,6 Underground,"Action, Comedy, Thriller            ",Michael Bay,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy']","Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future."
41,Sleepless in Seattle,"Comedy, Drama, Romance            ",Nora Ephron,"['Tom Hanks', 'Meg Ryan', 'Ross Malinger', 'Rita Wilson']",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
42,Yesterday,"Comedy, Fantasy, Music            ",Danny Boyle,"['Himesh Patel', 'Lily James', 'Sophia Di Martino', 'Ellise Chappell']",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.
43,Green Book,"Biography, Comedy, Drama            ",Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
44,Zombieland: Double Tap,"Action, Adventure, Comedy            ",Ruben Fleischer,"['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin']","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family."
45,American Pie,Comedy            ,Paul Weitz,"['Chris Weitz', 'Jason Biggs', 'Chris Klein', 'Thomas Ian Nicholas', 'Jennifer Coolidge']",Four teenage boys enter a pact to lose their virginity by prom night.
46,Deadpool,"Action, Adventure, Comedy            ",Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
47,Toy Story 4,"Animation, Adventure, Comedy            ",Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
48,La La Land,"Comedy, Drama, Music            ",Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
49,Midnight in Paris,"Comedy, Fantasy, Romance            ",Woody Allen,"['Owen Wilson', 'Rachel McAdams', 'Kathy Bates', 'Kurt Fuller']","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
50,The Holiday,"Comedy, Romance            ",Nancy Meyers,"['Kate Winslet', 'Cameron Diaz', 'Jude Law', 'Jack Black']","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
51,Lady Bird,"Comedy, Drama            ",Greta Gerwig,"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
52,Ghostbusters,"Action, Comedy, Fantasy            ",Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']",Three former parapsychology professors set up shop as a unique ghost removal service.
53,Legally Blonde,"Comedy, Romance            ",Robert Luketic,"['Reese Witherspoon', 'Luke Wilson', 'Selma Blair', 'Matthew Davis']","Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks."
54,The Lorax,"Animation, Adventure, Comedy            ",Chris Renaud,"['Kyle Balda', 'Zac Efron', 'Taylor Swift', 'Danny DeVito', 'Ed Helms']","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
55,Deadpool 2,"Action, Adventure, Comedy            ",David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
56,Dazed and Confused,Comedy            ,Richard Linklater,"['Jason London', 'Wiley Wiggins', 'Matthew McConaughey', 'Rory Cochrane']",The adventures of high school and junior high students on the last day of school in May 1976.
57,Malèna,"Comedy, Drama, Romance            ",Giuseppe Tornatore,"['Monica Bellucci', 'Giuseppe Sulfaro', 'Luciano Federico', 'Matilde Piana']","Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
58,The Princess and the Frog,"Animation, Adventure, Comedy            ",Ron Clements,"['John Musker', 'Anika Noni Rose', 'Keith David', 'Oprah Winfrey', 'Bruno Campos']","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
59,Grown Ups 2,Comedy            ,Dennis Dugan,"['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade']","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you."
60,Beetlejuice,"Comedy, Fantasy            ",Tim Burton,"['Alec Baldwin', 'Geena Davis', 'Michael Keaton', 'Annie McEnroe']","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
61,Pitch Perfect,"Comedy, Music, Romance            ",Jason Moore,"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Anna Camp']","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
62,The Sandlot,"Comedy, Drama, Family            ",David Mickey Evans,"['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
63,Shazam!,"Action, Adventure, Comedy            ",David F. Sandberg,"['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer']",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.
64,Idiocracy,"Adventure, Comedy, Sci-Fi            ",Mike Judge,"['Luke Wilson', 'Maya Rudolph', 'Dax Shepard', 'Terry Crews']","Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive."
65,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy            ",James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
66,Game Night,"Action, Comedy, Crime            ",John Francis Daley,"['Jonathan Goldstein', 'Jason Bateman', 'Rachel McAdams', 'Kyle Chandler', 'Sharon Horgan']",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
67,Blindspotting,"Comedy, Crime, Drama            ",Carlos López Estrada,"['Daveed Diggs', 'Rafael Casal', 'Janina Gavankar', 'Jasmine Cephas Jones']","While on probation, a man begins to re-evaluate his relationship with his volatile best friend."
68,Forgetting Sarah Marshall,"Comedy, Drama, Romance            ",Nicholas Stoller,"['Kristen Bell', 'Jason Segel', 'Paul Rudd', 'Mila Kunis']","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
69,The Hangover,Comedy            ,Todd Phillips,"['Zach Galifianakis', 'Bradley Cooper', 'Justin Bartha', 'Ed Helms']","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
70,The Change-Up,"Comedy, Fantasy            ",David Dobkin,"['Jason Bateman', 'Ryan Reynolds', 'Olivia Wilde', 'Leslie Mann']","Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
71,Lost in Translation,"Comedy, Drama            ",Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
72,Marriage Story,"Comedy, Drama, Romance            ",Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
73,Dodgeball: A True Underdog Story,"Comedy, Sport            ",Rawson Marshall Thurber,"['Ben Stiller', 'Christine Taylor', 'Vince Vaughn', 'Rip Torn']",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
74,A League of Their Own,"Comedy, Drama, Family            ",Penny Marshall,"['Tom Hanks', 'Geena Davis', 'Lori Petty', 'Madonna']",Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
75,Just Go with It,"Comedy, Romance            ",Dennis Dugan,"['Adam Sandler', 'Jennifer Aniston', 'Brooklyn Decker', 'Nicole Kidman']","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
76,Vivarium,"Comedy, Horror, Mystery            ",Lorcan Finnegan,"['Imogen Poots', 'Danielle Ryan', 'Molly McCann', 'Jesse Eisenberg']",A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.
77,Booksmart,Comedy            ,Olivia Wilde,"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Jason Sudeikis']","On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night."
78,Cats,"Comedy, Drama, Family            ",Tom Hooper,"['James Corden', 'Judi Dench', 'Jason Derulo', 'Idris Elba']",A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.
79,The Peanut Butter Falcon,"Comedy, Drama            ",Tyler Nilson,"['Michael Schwartz', 'Zack Gottsagen', 'Ann Owens', 'Dakota Johnson', 'Bruce Dern']",Zak runs away from his care home to make his dream of becoming a wrestler come true.
80,Grown Ups,Comedy            ,Dennis Dugan,"['Adam Sandler', 'Salma Hayek', 'Kevin James', 'Chris Rock']","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
81,Bad Education,"Biography, Comedy, Crime            ",Cory Finley,"['Hugh Jackman', 'Ray Romano', 'Welker White', 'Allison Janney']","The beloved superintendent of New York's Roslyn school district and his staff, friends and relatives become the prime suspects in the unfolding of the single largest public school embezzlement scandal in American history."
82,Overboard,"Comedy, Romance            ",Garry Marshall,"['Goldie Hawn', 'Kurt Russell', 'Edward Herrmann', 'Katherine Helmond']","A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her they're husband and wife."
83,Zootopia,"Animation, Adventure, Comedy            ",Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
84,Back to the Future Part III,"Adventure, Comedy, Sci-Fi            ",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson']","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered."
85,Spenser Confidential,"Action, Comedy, Crime            ",Peter Berg,"['Mark Wahlberg', 'Winston Duke', 'Alan Arkin', 'Iliza Shlesinger']","When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals."
86,The Grand Budapest Hotel,"Adventure, Comedy, Crime            ",Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
87,Scary Movie,Comedy            ,Keenen Ivory Wayans,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Carmen Electra']","A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
88,This Is Where I Leave You,"Comedy, Drama            ",Shawn Levy,"['Jason Bateman', 'Tina Fey', 'Jane Fonda', 'Adam Driver']","When their father passes away, four grown siblings are forced to return to their childhood home and live under the same roof together for a week, along with their over-sharing mother and an assortment of spouses, exes and might-have-beens."
89,The Half of It,"Comedy, Drama, Romance            ",Alice Wu,"['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Wolfgang Novogratz']","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush."
90,How Do You Know,"Comedy, Drama, Romance            ",James L. Brooks,"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson', 'Jack Nicholson']","After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau."
91,The Big Short,"Biography, Comedy, Drama            ",Adam McKay,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
92,Buffaloed,"Comedy, Drama            ",Tanya Wexler,"['Zoey Deutch', 'Jai Courtney', 'Judy Greer', 'Jermaine Fowler']","Set in the underworld of debt-collecting and follows the homegrown hustler Peg Dahl, who will do anything to escape Buffalo, NY."
93,There's Something About Mary,"Comedy, Romance            ",Bobby Farrelly,"['Peter Farrelly', 'Cameron Diaz', 'Matt Dillon', 'Ben Stiller', 'Lee Evans']","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
94,The Personal History of David Copperfield,"Comedy, Drama            ",Armando Iannucci,"['Dev Patel', 'Hugh Laurie', 'Tilda Swinton', 'Peter Capaldi']",A modern take on Charles Dickens's classic tale of a young orphan who is able to triumph over many obstacles.
95,What We Do in the Shadows,"Comedy, Horror            ",Jemaine Clement,"['Taika Waititi', 'Jemaine Clement', 'Taika Waititi', 'Cori Gonzalez-Macuer', 'Jonny Brugh']","Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts."
96,Jumanji,"Adventure, Comedy, Family            ",Joe Johnston,"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt', 'Jonathan Hyde']","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
97,American Psycho,"Comedy, Crime, Drama            ",Mary Harron,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
98,Jay and Silent Bob Reboot,Comedy            ,Kevin Smith,"['Joey Lauren Adams', 'Ben Affleck', 'Fred Armisen', 'Diedrich Bader']",Jay and Silent Bob return to Hollywood to stop a reboot of the 'Bluntman and Chronic' movie from getting made.
99,Blended,"Comedy, Romance            ",Frank Coraci,"['Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey', 'Kevin Nealon']","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
100,Pineapple Express,"Action, Comedy, Crime            ",David Gordon Green,"['Seth Rogen', 'James Franco', 'Gary Cole', 'Danny McBride']",A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.
101,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama            ",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
102,Snatch,"Comedy, Crime            ",Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Benicio Del Toro', 'Dennis Farina']","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
103,American Graffiti,"Comedy, Drama            ",George Lucas,"['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat', 'Charles Martin Smith']",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
104,"Definitely, Maybe","Comedy, Drama, Romance            ",Adam Brooks,"['Ryan Reynolds', 'Rachel Weisz', 'Abigail Breslin', 'An Nguyen']",A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.
105,That's My Boy,Comedy            ,Sean Anders,"['Adam Sandler', 'Andy Samberg', 'Leighton Meester', 'Susan Sarandon']","While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down."
106,Kingsman: The Secret Service,"Action, Adventure, Comedy            ",Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
107,Death Becomes Her,"Comedy, Fantasy, Horror            ",Robert Zemeckis,"['Meryl Streep', 'Bruce Willis', 'Goldie Hawn', 'Isabella Rossellini']","When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
