,Title,Genre,Director,Actors,Plot
705,Despicable Me 3,"Animation, Adventure, Comedy            ",Kyle Balda,"['Pierre Coffin', 'Eric Guillon', 'Steve Carell', 'Kristen Wiig', 'Trey Parker', 'Miranda Cosgrove']","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
706,The Heat,"Action, Comedy, Crime            ",Paul Feig,"['Sandra Bullock', 'Michael McDonald', 'Melissa McCarthy', 'Demián Bichir']",An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
707,Miss Meadows,"Comedy, Crime, Drama            ",Karen Leigh Hopkins,"['Katie Holmes', 'James Badge Dale', 'Callan Mulvey', 'Jean Smart']",A story centered on a proper elementary school teacher who moonlights as a vigilante.
708,What Women Want,"Comedy, Fantasy, Romance            ",Nancy Meyers,"['Mel Gibson', 'Helen Hunt', 'Marisa Tomei', 'Alan Alda']","After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
709,Annie,"Comedy, Drama, Family            ",Will Gluck,"['Quvenzhané Wallis', 'Cameron Diaz', 'Jamie Foxx', 'Rose Byrne']","A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in."
710,Suburbicon,"Comedy, Crime, Drama            ",George Clooney,"['Matt Damon', 'Julianne Moore', 'Oscar Isaac', 'Noah Jupe']","As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family."
711,Set It Up,"Comedy, Romance            ",Claire Scanlon,"['Zoey Deutch', 'Glen Powell', 'Lucy Liu', 'Taye Diggs']",Two corporate executive assistants hatch a plan to match-make their two bosses.
712,Hackers,"Comedy, Crime, Drama            ",Iain Softley,"['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford', 'Matthew Lillard']",Hackers are blamed for making a virus that will capsize five oil tankers.
713,The Inbetweeners 2,"Comedy, Family            ",Damon Beesley,"['Iain Morris', 'Simon Bird', 'James Buckley', 'Blake Harrison', 'Joe Thomas']","Jay, Neil, Simon, and Will reunite in Australia for a holiday."
714,A Cinderella Story,"Comedy, Family, Romance            ",Mark Rosman,"['Hilary Duff', 'Chad Michael Murray', 'Jennifer Coolidge', 'Dan Byrd']","Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance."
715,Ghostbusters II,"Action, Comedy, Fantasy            ",Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']",The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
716,Popstar: Never Stop Never Stopping,"Comedy, Music            ",Akiva Schaffer,"['Jorma Taccone', 'Andy Samberg', 'Jorma Taccone', 'Akiva Schaffer', 'Sarah Silverman']","When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status."
717,Empire Records,"Comedy, Drama, Music            ",Allan Moyle,"['Anthony LaPaglia', 'Debi Mazar', 'Maxwell Caulfield', 'Rory Cochrane']",Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.
718,Meatballs,Comedy            ,Ivan Reitman,"['Bill Murray', 'Harvey Atkin', 'Kate Lynch', 'Russ Banham']",Wacky hijinks of counselors and campers at a less-than-average summer camp.
719,Pain & Gain,"Action, Comedy, Crime            ",Michael Bay,"['Mark Wahlberg', 'Dwayne Johnson', 'Anthony Mackie', 'Tony Shalhoub']",A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
720,One for the Money,"Action, Comedy, Crime            ",Julie Anne Robinson,"['Katherine Heigl', ""Jason O'Mara"", 'Daniel Sunjata', 'John Leguizamo']","Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past."
721,Cashback,"Comedy, Drama, Romance            ",Sean Ellis,"['Sean Biggerstaff', 'Emilia Fox', 'Michelle Ryan', 'Erica Ellis']","After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild."
722,Rushmore,"Comedy, Drama, Romance            ",Wes Anderson,"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams', 'Seymour Cassel']",The extracurricular king of Rushmore Preparatory School is put on academic probation.
