,Title,Genre,Director,Actors,Plot
235,Pet Sematary,"Horror, Mystery, Thriller            ",Kevin Kölsch,"['Dennis Widmyer', 'Jason Clarke', 'Amy Seimetz', 'John Lithgow', 'Jeté Laurence']","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home."
236,Star Trek: The Motion Picture,"Adventure, Mystery, Sci-Fi            ",Robert Wise,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']","When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it."
237,Zeroville,"Comedy, Drama, Mystery            ",James Franco,"['James Franco', 'Megan Fox', 'Seth Rogen', 'Joey King']","A young ex-communicated seminarian, Ike ""Vikar"" Jerome, arrives in Los Angeles on the same August day in 1969 that a crazed hippie ''family'' led by Charles Manson commits five savage murders."
238,Changeling,"Biography, Crime, Drama            ",Clint Eastwood,"['Angelina Jolie', 'Colm Feore', 'Amy Ryan', 'Gattlin Griffith']",Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.
239,Dark City,"Mystery, Sci-Fi, Thriller            ",Alex Proyas,"['Rufus Sewell', 'Kiefer Sutherland', 'Jennifer Connelly', 'William Hurt']","A man struggles with memories of his past, which includes a wife he cannot remember, and a nightmarish world, no one else seems to be waking up from."
240,Michael Clayton,"Crime, Drama, Mystery            ",Tony Gilroy,"['George Clooney', 'Tilda Swinton', 'Tom Wilkinson', ""Michael O'Keefe""]","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
241,We Need to Talk About Kevin,"Drama, Mystery, Thriller            ",Lynne Ramsay,"['Tilda Swinton', 'John C. Reilly', 'Ezra Miller', 'Jasper Newell']","Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined."
242,Paranormal Activity,"Horror, Mystery, Thriller            ",Oren Peli,"['Katie Featherston', 'Micah Sloat', 'Mark Fredrichs', 'Amber Armstrong']","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
243,Death Note,"Action, Adventure, Crime            ",Adam Wingard,"['Nat Wolff', 'LaKeith Stanfield', 'Margaret Qualley', 'Shea Whigham']","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
244,National Treasure: Book of Secrets,"Action, Adventure, Mystery            ",Jon Turteltaub,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Jon Voight']",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
245,Sea Fever,"Adventure, Drama, Horror            ",Neasa Hardiman,"['Hermione Corfield', 'Dag Malmberg', 'Jack Hickey', 'Olwen Fouéré']","The crew of a West of Ireland trawler, marooned at sea, struggle for their lives against a growing parasite in their water supply."
246,The Bone Collector,"Crime, Drama, Mystery            ",Phillip Noyce,"['Denzel Washington', 'Angelina Jolie', 'Queen Latifah', 'Michael Rooker']",A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
247,Lights Out,"Drama, Horror, Mystery            ",David F. Sandberg,"['Teresa Palmer', 'Gabriel Bateman', 'Maria Bello', 'Billy Burke']","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother."
248,The 'Burbs,"Comedy, Mystery, Thriller            ",Joe Dante,"['Tom Hanks', 'Bruce Dern', 'Carrie Fisher', 'Corey Feldman']",An overstressed suburbanite and his neighbors are convinced that the new family on the block are part of a murderous Satanic cult.
249,Selvmordsturisten,"Drama, Mystery            ",Jonas Alexander Arnby,"['Nikolaj Coster-Waldau', 'Tuva Novotny', 'Kate Ashfield', 'Robert Aramayo']","We follow Max, who in the midst of an existential crisis and looking to solve a cold case checks into the clandestine Hotel Aurora. A unique secretive facility that specializes in elaborate assisted suicide fantasies. His investigation uncovers a disturbing truth that forces Max to question the very nature of life, death and his own perception of reality."
250,A Cure for Wellness,"Drama, Fantasy, Horror            ",Gore Verbinski,"['Dane DeHaan', 'Jason Isaacs', 'Mia Goth', 'Ivo Nandi']","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
251,Greta,"Drama, Mystery, Thriller            ",Neil Jordan,"['Isabelle Huppert', 'Chloë Grace Moretz', 'Maika Monroe', 'Jane Perry']",A young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her.
252,The Fountain,"Drama, Mystery, Romance            ",Darren Aronofsky,"['Hugh Jackman', 'Rachel Weisz', 'Sean Patrick Thomas', 'Ellen Burstyn']","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
253,The Illusionist,"Drama, Fantasy, History            ",Neil Burger,"['Edward Norton', 'Jessica Biel', 'Paul Giamatti', 'Rufus Sewell']","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
254,The Abyss,"Adventure, Drama, Mystery            ",James Cameron,"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn', 'Leo Burmester']",A civilian diving team is enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species.
255,Holmes & Watson,"Comedy, Crime, Mystery            ",Etan Cohen,"['Will Ferrell', 'John C. Reilly', 'Ralph Fiennes', 'Rebecca Hall']",A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.
256,Happy Death Day,"Horror, Mystery, Thriller            ",Christopher Landon,"['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Charles Aitken']","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
257,Allegiant,"Action, Adventure, Mystery            ",Robert Schwentke,"['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Naomi Watts']","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them."
258,La migliore offerta,"Crime, Drama, Mystery            ",Giuseppe Tornatore,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland']",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
259,Män som hatar kvinnor,"Crime, Drama, Mystery            ",Niels Arden Oplev,"['Michael Nyqvist', 'Noomi Rapace', 'Ewa Fröling', 'Lena Endre']",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
260,Mississippi Burning,"Crime, Drama, History            ",Alan Parker,"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand', 'Brad Dourif']",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
261,The Wicker Man,"Horror, Mystery, Thriller            ",Robin Hardy,"['Edward Woodward', 'Christopher Lee', 'Diane Cilento', 'Britt Ekland']",A puritan Police Sergeant is sent to a Scottish island village in search of a missing girl who the townsfolk claim never existed; stranger still are the pagan rites that take place there.
262,Three Identical Strangers,"Documentary, Biography, Drama            ",Tim Wardle,"['Robert Shafran', 'Michael Domnitz', 'Howard Schneider', 'Ellen Cervone']","In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery."
263,8MM,"Crime, Drama, Mystery            ",Joel Schumacher,"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini', 'Peter Stormare']","A private investigator is hired to discover if a ""snuff film"" is authentic or not."
264,Oculus,"Horror, Mystery            ",Mike Flanagan,"['Karen Gillan', 'Brenton Thwaites', 'Katee Sackhoff', 'Rory Cochrane']","A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
265,Men in Black II,"Action, Adventure, Comedy            ",Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle']",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
266,Following,"Crime, Mystery, Thriller            ",Christopher Nolan,"['Jeremy Theobald', 'Alex Haw', 'Lucy Russell', 'John Nolan']",A young writer who follows strangers for material meets a thief who takes him under his wing.
267,Scream 4,"Horror, Mystery            ",Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Lucy Hale']","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
268,Captive State,"Action, Adventure, Drama            ",Rupert Wyatt,"['John Goodman', 'Ashton Sanders', 'Jonathan Majors', 'Vera Farmiga']","Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents."
269,Twin Peaks: Fire Walk with Me,"Drama, Horror, Mystery            ",David Lynch,"['Sheryl Lee', 'Ray Wise', 'Mädchen Amick', 'Dana Ashbrook']","Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town."
270,The Do-Over,"Action, Adventure, Comedy            ",Steven Brill,"['Adam Sandler', 'David Spade', 'Paula Patton', 'Kathryn Hahn']","Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble."
271,Berlin Syndrome,"Drama, Horror, Mystery            ",Cate Shortland,"['Teresa Palmer', 'Max Riemelt', 'Matthias Habich', 'Emma Bading']","A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave."
272,The Thing,"Horror, Mystery, Sci-Fi            ",Matthijs van Heijningen Jr.,"['Mary Elizabeth Winstead', 'Joel Edgerton', 'Ulrich Thomsen', 'Eric Christian Olsen']","At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson."
273,True Story,"Crime, Drama, Mystery            ",Rupert Goold,"['James Franco', 'Jonah Hill', 'Felicity Jones', 'Maria Dizzia']",When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.
274,Jigsaw,"Crime, Horror, Mystery            ",Michael Spierig,"['Peter Spierig', 'Matt Passmore', 'Tobin Bell', 'Callum Keith Rennie', 'Hannah Emily Anderson']","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
275,Nerve,"Adventure, Crime, Drama            ",Henry Joost,"['Ariel Schulman', 'Emma Roberts', 'Dave Franco', 'Emily Meade', 'Miles Heizer']","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
276,In the Heat of the Night,"Crime, Drama, Mystery            ",Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']",A black police detective is asked to investigate a murder in a racially hostile southern town.
277,"As Above, So Below","Horror, Mystery, Thriller            ",John Erick Dowdle,"['Perdita Weeks', 'Ben Feldman', 'Edwin Hodge', 'François Civil']","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
278,Return to Oz,"Adventure, Family, Fantasy            ",Walter Murch,"['Fairuza Balk', 'Nicol Williamson', 'Jean Marsh', 'Piper Laurie']","Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
279,The Blair Witch Project,"Horror, Mystery            ",Daniel Myrick,"['Eduardo Sánchez', 'Heather Donahue', 'Michael C. Williams', 'Joshua Leonard', 'Bob Griffin']","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
280,Gosford Park,"Comedy, Drama, Mystery            ",Robert Altman,"['Maggie Smith', 'Ryan Phillippe', 'Michael Gambon', 'Kristin Scott Thomas']",The lives of upstairs guests and downstairs servants at a party in 1932 in a country house in England as they investigate a murder involving one of them.
281,Passion,"Drama, Mystery, Thriller            ",Brian De Palma,"['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth', 'Paul Anderson']",The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.
282,The Client,"Crime, Drama, Mystery            ",Joel Schumacher,"['Susan Sarandon', 'Tommy Lee Jones', 'Brad Renfro', 'Mary-Louise Parker']",A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
283,Buried,"Drama, Mystery, Thriller            ",Rodrigo Cortés,"['Ryan Reynolds', 'José Luis García Pérez', 'Robert Paterson', 'Stephen Tobolowsky']",Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.
284,Cube,"Drama, Mystery, Sci-Fi            ",Vincenzo Natali,"['Nicole de Boer', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller']",Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.
285,Our House,"Drama, Horror, Mystery            ",Anthony Scott Burns,"['John Ralston', 'Thomas Mann', 'Percy Hynes White', 'Lucius Hoyos']","A young genius accidentally invents a device that amplifies the paranormal activity within his family's house, possibly bringing back the spirits of loved ones, and unleashing things far worse."
286,Suburbicon,"Comedy, Crime, Drama            ",George Clooney,"['Matt Damon', 'Julianne Moore', 'Oscar Isaac', 'Noah Jupe']","As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family."
287,Urban Legend,"Horror, Mystery, Thriller            ",Jamie Blanks,"['Jared Leto', 'Alicia Witt', 'Rebecca Gayheart', 'Michael Rosenbaum']",A college student suspects a series of bizarre deaths are connected to certain urban legends.
288,The Captive,"Crime, Drama, Mystery            ",Atom Egoyan,"['Ryan Reynolds', 'Scott Speedman', 'Rosario Dawson', 'Mireille Enos']","Eight years after the disappearance of Cassandra, some disturbing incidents seem to indicate that she's still alive. Police, parents and Cassandra herself, will try to unravel the mystery of her disappearance."
289,Hold the Dark,"Action, Drama, Horror            ",Jeremy Saulnier,"['Jeffrey Wright', 'Alexander Skarsgård', 'James Badge Dale', 'Riley Keough']","After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the the mother of a missing six-year-old boy to track down and locate her son in the Alaskan wilderness."
290,The Visit,"Horror, Mystery, Thriller            ",M. Night Shyamalan,"['Olivia DeJonge', 'Ed Oxenbould', 'Deanna Dunagan', 'Peter McRobbie']",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
291,Anastasia,"Animation, Adventure, Drama            ",Don Bluth,"['Gary Goldman', 'Meg Ryan', 'John Cusack', 'Christopher Lloyd', 'Kelsey Grammer']","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
292,The Unborn,"Drama, Horror, Mystery            ",David S. Goyer,"['Odette Annable', 'Gary Oldman', 'Cam Gigandet', 'Meagan Good']",A young woman fights the spirit that is slowly taking possession of her.
293,Solaris,"Drama, Mystery, Sci-Fi            ",Andrei Tarkovsky,"['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet', 'Vladislav Dvorzhetskiy']",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
294,The Losers,"Action, Adventure, Crime            ",Sylvain White,"['Idris Elba', 'Zoe Saldana', 'Jeffrey Dean Morgan', 'Chris Evans']","A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA."
295,Annabelle: Creation,"Horror, Mystery, Thriller            ",David F. Sandberg,"['Anthony LaPaglia', 'Samara Lee', 'Miranda Otto', 'Brad Greenquist']","Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle."
296,The Grudge,"Horror, Mystery, Thriller            ",Takashi Shimizu,"['Sarah Michelle Gellar', 'Jason Behr', 'Clea DuVall', 'William Mapother']","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim."
297,Scream 2,"Horror, Mystery            ",Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Jada Pinkett Smith']","Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings."
298,The Conversation,"Drama, Mystery, Thriller            ",Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest']","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
299,Secret in Their Eyes,"Crime, Drama, Mystery            ",Billy Ray,"['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts', 'Dean Norris']","A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered."
300,The Stepford Wives,"Horror, Mystery, Sci-Fi            ",Bryan Forbes,"['Katharine Ross', 'Paula Prentiss', 'Peter Masterson', 'Nanette Newman']","Joanna Eberhart has come to the quaint little town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents."
301,Summer of 84,"Drama, Horror, Mystery            ",François Simard,"['Anouk Whissell', 'Yoann-Karl Whissell', 'Graham Verchere', 'Judah Lewis', 'Caleb Emery', 'Cory Gruter-Andrew']","After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous."
302,Dressed to Kill,"Mystery, Thriller            ",Brian De Palma,"['Michael Caine', 'Angie Dickinson', 'Nancy Allen', 'Keith Gordon']","A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder."
303,The Happytime Murders,"Action, Comedy, Crime            ",Brian Henson,"['Melissa McCarthy', 'Elizabeth Banks', 'Maya Rudolph', 'Leslie David Baker']","When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case."
304,American Woman,"Drama, Mystery            ",Jake Scott,"['Sienna Miller', 'Sky Ferreira', 'Christina Hendricks', 'Aaron Paul']",A woman raises her young grandson after her daughter goes missing.
305,Super Troopers,"Comedy, Crime, Mystery            ",Jay Chandrasekhar,"['Jay Chandrasekhar', 'Kevin Heffernan', 'André Vippolis', 'Joey Kern']","Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
306,Unsane,"Drama, Horror, Mystery            ",Steven Soderbergh,"['Claire Foy', 'Joshua Leonard', 'Jay Pharoah', 'Juno Temple']","A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?"
307,Blowup,"Drama, Mystery, Thriller            ",Michelangelo Antonioni,"['David Hemmings', 'Vanessa Redgrave', 'Sarah Miles', 'John Castle']",A mod London photographer finds something very suspicious in the shots he has taken of a mysterious beauty in a desolate park.
308,Kiss Kiss Bang Bang,"Action, Comedy, Crime            ",Shane Black,"['Robert Downey Jr.', 'Val Kilmer', 'Michelle Monaghan', 'Corbin Bernsen']","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor."
309,Angel Heart,"Horror, Mystery, Thriller            ",Alan Parker,"['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet', 'Charlotte Rampling']",A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.
310,Soylent Green,"Crime, Mystery, Sci-Fi            ",Richard Fleischer,"['Charlton Heston', 'Edward G. Robinson', 'Leigh Taylor-Young', 'Chuck Connors']","In the world ravaged by the greenhouse effect and overpopulation, an NYPD detective investigates the murder of a big company CEO."
311,Deliver Us from Evil,"Horror, Mystery, Thriller            ",Scott Derrickson,"['Eric Bana', 'Edgar Ramírez', 'Olivia Munn', 'Chris Coy']","New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city."
312,Chloe,"Drama, Mystery, Romance            ",Atom Egoyan,"['Julianne Moore', 'Amanda Seyfried', 'Liam Neeson', 'Max Thieriot']","Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify."
313,The Imaginarium of Doctor Parnassus,"Adventure, Comedy, Fantasy            ",Terry Gilliam,"['Christopher Plummer', 'Lily Cole', 'Heath Ledger', 'Andrew Garfield']",A traveling theater company gives its audience much more than they were expecting.
314,Destroyer,"Action, Crime, Drama            ",Karyn Kusama,"['Nicole Kidman', 'Toby Kebbell', 'Tatiana Maslany', 'Sebastian Stan']",A police detective reconnects with people from an undercover assignment in her distant past in order to make peace.
315,Backdraft,"Crime, Drama, Mystery            ",Ron Howard,"['Kurt Russell', 'William Baldwin', 'Robert De Niro', 'Donald Sutherland']","Two Chicago firefighter brothers, who don't get along, have to work together while a dangerous arsonist is on the loose."
316,Anon,"Crime, Drama, Mystery            ",Andrew Niccol,"['Clive Owen', 'Afiya Bennett', 'Morgan Allen', 'Jeffrey Men']","In a world without anonymity or crime, a detective meets a woman who threatens their security."
317,Side Effects,"Crime, Drama, Mystery            ",Steven Soderbergh,"['Rooney Mara', 'Channing Tatum', 'Jude Law', 'Catherine Zeta-Jones']",A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.
318,Unfriended,"Horror, Mystery, Thriller            ",Levan Gabriadze,"['Heather Sossaman', 'Matthew Bohrer', 'Courtney Halverson', 'Shelley Hennig']","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend."
319,Case 39,"Horror, Mystery, Thriller            ",Christian Alvart,"['Renée Zellweger', 'Ian McShane', 'Jodelle Ferland', 'Bradley Cooper']","A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected."
320,State of Play,"Crime, Drama, Mystery            ",Kevin Macdonald,"['Russell Crowe', 'Rachel McAdams', 'Ben Affleck', 'Helen Mirren']","When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend."
321,Kôkaku Kidôtai,"Animation, Action, Crime            ",Mamoru Oshii,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka', 'Kôichi Yamadera']",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
322,The Roommate,"Drama, Mystery, Thriller            ",Christian E. Christiansen,"['Minka Kelly', 'Leighton Meester', 'Cam Gigandet', 'Aly Michalka']","When college freshman Sara arrives on campus for the first time, she befriends her roommate, Rebecca, unaware that the girl is becoming dangerously obsessed with her."
323,Dark Places,"Action, Drama, Mystery            ",Gilles Paquet-Brenner,"['Charlize Theron', 'Nicholas Hoult', 'Christina Hendricks', 'Chloë Grace Moretz']","Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night."
324,Der Name der Rose,"Crime, Drama, Mystery            ",Jean-Jacques Annaud,"['Sean Connery', 'Christian Slater', 'Helmut Qualtinger', 'Elya Baskin']",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
325,Angel of Mine,"Drama, Mystery, Thriller            ",Kim Farrant,"['Noomi Rapace', 'Rebecca Bower', 'Luke Evans', 'Finn Little']",A woman grieving over the death of her daughter loses grip of reality when she begins to think her girl may still be alive.
326,The Covenant,"Action, Adventure, Fantasy            ",Renny Harlin,"['Steven Strait', 'Sebastian Stan', 'Toby Hemingway', 'Taylor Kitsch']","Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart."
327,Before I Go to Sleep,"Drama, Horror, Mystery            ",Rowan Joffe,"['Nicole Kidman', 'Colin Firth', 'Mark Strong', 'Anne-Marie Duff']","A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her."
328,Secret Window,"Drama, Mystery, Thriller            ",David Koepp,"['Johnny Depp', 'Maria Bello', 'John Turturro', 'Timothy Hutton']",A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.
329,Scooby-Doo 2: Monsters Unleashed,"Adventure, Comedy, Family            ",Raja Gosnell,"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard', 'Linda Cardellini']","The Mystery Inc. gang must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to ""unmask"" the gang."
330,Pandorum,"Action, Horror, Mystery            ",Christian Alvart,"['Dennis Quaid', 'Ben Foster', 'Cam Gigandet', 'Antje Traue']","Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone."
331,Possum,"Drama, Horror, Mystery            ",Matthew Holness,"['Sean Harris', 'Alun Armstrong', 'Andy Blithe', 'Ryan Enever']","After returning to his childhood home, a disgraced children's puppeteer is forced to confront his wicked stepfather and the secrets that have tortured his entire life."
332,The Adventures of Tintin,"Animation, Action, Adventure            ",Steven Spielberg,"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Simon Pegg']",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
333,Killerman,"Action, Crime, Drama            ",Malik Bader,"['Liam Hemsworth', 'Emory Cohen', 'Diane Guerrero', 'Zlatko Buric']",Two friends launder money in NYC. They make a quick drug deal. Things go wrong as dirty cops are involved. One gets amnesia during escape with the drugs and money.
334,Marrowbone,"Drama, Horror, Mystery            ",Sergio G. Sánchez,"['George MacKay', 'Anya Taylor-Joy', 'Charlie Heaton', 'Mia Goth']","A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
335,The Long Kiss Goodnight,"Action, Crime, Drama            ",Renny Harlin,"['Geena Davis', 'Samuel L. Jackson', 'Yvonne Zima', 'Craig Bierko']","Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past."
336,Basic Instinct 2,"Drama, Mystery, Thriller            ",Michael Caton-Jones,"['Sharon Stone', 'David Morrissey', 'David Thewlis', 'Stan Collymore']","Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game."
337,The Intruder,"Drama, Horror, Mystery            ",Deon Taylor,"['Michael Ealy', 'Meagan Good', 'Dennis Quaid', 'Joseph Sikora']","A young married couple buys a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property."
338,In the Mouth of Madness,"Drama, Horror, Mystery            ",John Carpenter,"['Sam Neill', 'Jürgen Prochnow', 'Julie Carmen', 'David Warner']",An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
339,Stay Alive,"Fantasy, Horror, Mystery            ",William Brent Bell,"['Jon Foster', 'Samaire Armstrong', 'Frankie Muniz', 'Jimmi Simpson']","For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess."
340,How It Ends,"Action, Adventure, Drama            ",David M. Rosenthal,"['Theo James', 'Kat Graham', 'Nancy Sorel', 'Nicole Ari Parker']",A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.
341,The Whole Truth,"Crime, Drama, Mystery            ",Courtney Hunt,"['Keanu Reeves', 'Renée Zellweger', 'Gugu Mbatha-Raw', 'Gabriel Basso']",A defense attorney works to get his teenage client acquitted of murdering his wealthy father.
