,Title,Genre,Director,Actors,Plot
24,Scary Stories to Tell in the Dark,"Adventure, Horror, Mystery            ",André Øvredal,"['Zoe Margaret Colletti', 'Michael Garza', 'Gabriel Rush', 'Austin Abrams']","On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories."
25,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family            ",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
26,The Night Clerk,"Crime, Drama, Mystery            ",Michael Cristofer,"['Tye Sheridan', 'Ana de Armas', 'Helen Hunt', 'John Leguizamo']",Voyeuristic hotel clerk becomes the subject of a murder investigation.
27,Sleepy Hollow,"Fantasy, Horror, Mystery            ",Tim Burton,"['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon']","Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman."
28,I See You,"Crime, Drama, Horror            ",Adam Randall,"['Helen Hunt', 'Jon Tenney', 'Judah Lewis', 'Owen Teague']",Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.
29,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy            ",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
30,Winchester,"Biography, Drama, Fantasy            ",Michael Spierig,"['Peter Spierig', 'Helen Mirren', 'Sarah Snook', ""Finn Scicluna-O'Prey"", 'Jason Clarke']","Ensconced in her sprawling San Jose, California mansion, eccentric firearm heiress Sarah Winchester (Dame Helen Mirren) believes she is haunted by the souls of people killed by the Winchester repeating rifle."
31,Ex Machina,"Drama, Mystery, Sci-Fi            ",Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
32,Shutter Island,"Mystery, Thriller            ",Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
33,Us,"Horror, Mystery, Thriller            ",Jordan Peele,"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker']",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
34,Gretel & Hansel,"Fantasy, Horror, Mystery            ",Oz Perkins,"['Sophia Lillis', 'Samuel Leakey', 'Alice Krige', 'Jessica De Gouw']","A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil."
35,Eyes Wide Shut,"Drama, Mystery, Thriller            ",Stanley Kubrick,"['Tom Cruise', 'Nicole Kidman', 'Todd Field', 'Sydney Pollack']","A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him."
36,Game Night,"Action, Comedy, Crime            ",John Francis Daley,"['Jonathan Goldstein', 'Jason Bateman', 'Rachel McAdams', 'Kyle Chandler', 'Sharon Horgan']",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
37,Red Riding Hood,"Fantasy, Horror, Mystery            ",Catherine Hardwicke,"['Amanda Seyfried', 'Lukas Haas', 'Gary Oldman', 'Billy Burke']","Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure."
38,Murder on the Orient Express,"Crime, Drama, Mystery            ",Kenneth Branagh,"['Kenneth Branagh', 'Penélope Cruz', 'Willem Dafoe', 'Judi Dench']","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
39,Memento,"Mystery, Thriller            ",Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']",A man with short-term memory loss attempts to track down his wife's murderer.
40,The Usual Suspects,"Crime, Mystery, Thriller            ",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
41,Vivarium,"Comedy, Horror, Mystery            ",Lorcan Finnegan,"['Imogen Poots', 'Danielle Ryan', 'Molly McCann', 'Jesse Eisenberg']",A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.
42,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy            ",Alfonso Cuarón,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Richard Griffiths']","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
43,Coco,"Animation, Adventure, Family            ",Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
44,Zootopia,"Animation, Adventure, Comedy            ",Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
45,Harry Potter and the Order of the Phoenix,"Action, Adventure, Family            ",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Brendan Gleeson']","With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
46,Psycho,"Horror, Mystery, Thriller            ",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
47,The Thing,"Horror, Mystery, Sci-Fi            ",John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
48,Atonement,"Drama, Mystery, Romance            ",Joe Wright,"['Keira Knightley', 'James McAvoy', 'Brenda Blethyn', 'Saoirse Ronan']",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
49,The Guest,"Action, Crime, Drama            ",Adam Wingard,"['Dan Stevens', 'Sheila Kelley', 'Maika Monroe', 'Joel David Moore']","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
